match_id,minute,location_y,pass_end_location,period,player,pass_recipient,pass_type,pass_length,second,timestamp,x,endx,y,endy
3895067,29,"(77.3, 47.1)","(87.5, 43.6)",1,Granit Xhaka,Victor Okoh Boniface,,10.783784,49,00:29:49.636,77.3,87.5,47.1,43.6
3895067,29,"(88.4, 43.2)","(86.4, 54.7)",1,Victor Okoh Boniface,Jonas Hofmann,,11.672618,50,00:29:50.419,88.4,86.4,43.2,54.7
3895067,29,"(90.5, 63.4)","(84.9, 49.1)",1,Jonas Hofmann,Granit Xhaka,,15.357409,55,00:29:55.320,90.5,84.9,63.4,49.1
3895067,29,"(83.8, 48.2)","(84.7, 44.3)",1,Granit Xhaka,Jonas Hofmann,,4.002499,57,00:29:57.259,83.8,84.7,48.2,44.3
3895067,31,"(44.8, 40.3)","(49.7, 23.3)",1,Jonathan Tah,Exequiel Alejandro Palacios,,17.69209,30,00:31:30.069,44.8,49.7,40.3,23.3
3895067,31,"(51.5, 23.1)","(49.2, 32.3)",1,Exequiel Alejandro Palacios,Edmond Fayçal Tapsoba,,9.483143,34,00:31:34.309,51.5,49.2,23.1,32.3
3895067,31,"(100.4, 37.6)","(96.3, 46.2)",1,Jonas Hofmann,Victor Okoh Boniface,,9.527329,38,00:31:38.919,100.4,96.3,37.6,46.2
3895067,31,"(77.6, 72.0)","(77.1, 56.3)",1,Odilon Kossonou,Exequiel Alejandro Palacios,,15.70796,49,00:31:49.807,77.6,77.1,72.0,56.3
3895067,31,"(78.8, 55.2)","(93.5, 33.9)",1,Exequiel Alejandro Palacios,Victor Okoh Boniface,,25.880108,52,00:31:52.174,78.8,93.5,55.2,33.9
3895067,31,"(98.1, 16.2)","(87.0, 21.0)",1,Alejandro Grimaldo García,Edmond Fayçal Tapsoba,,12.093387,58,00:31:58.372,98.1,87.0,16.2,21.0
